id;id_school;grade;letter
382;903;6;A
383;903;6;B
384;903;7;A
385;903;7;B
386;903;8;A
387;903;8;B
388;903;9;A
389;903;10;A
390;903;10;B
391;903;10;C
392;903;11;A
393;248;1;A
394;248;2;A
395;248;2;B
396;248;3;A
397;248;4;A
398;248;4;B
399;248;5;A
400;248;5;B
401;248;6;A
402;248;7;A
403;248;8;A
404;248;8;B
405;248;8;C
406;248;9;A
407;248;10;A
408;248;11;A
409;248;11;B
410;836;1;A
411;836;1;B
412;836;1;C
413;836;2;A
414;836;2;B
415;836;2;C
416;836;3;A
417;836;3;B
418;836;3;C
419;836;4;A
420;836;5;A
421;836;5;B
422;836;5;C
423;836;6;A
424;836;6;B
425;836;6;C
426;836;7;A
427;836;7;B
428;836;7;C
429;836;8;A
430;836;8;B
431;836;9;A
432;836;10;A
433;836;11;A
434;836;11;B
435;836;11;C
436;385;1;A
437;385;2;A
438;385;3;A
439;385;3;B
440;385;3;C
441;385;4;A
442;385;5;A
443;385;5;B
444;385;6;A
445;385;6;B
446;385;6;C
447;385;7;A
448;385;7;B
449;385;8;A
450;385;8;B
451;385;9;A
452;385;9;B
453;385;10;A
454;385;10;B
455;385;10;C
456;385;11;A
457;385;11;B
458;385;11;C
459;647;1;A
460;647;1;B
461;647;2;A
462;647;2;B
463;647;2;C
464;647;3;A
465;647;3;B
466;647;3;C
467;647;4;A
468;647;5;A
469;647;5;B
470;647;5;C
471;647;6;A
472;647;7;A
473;647;8;A
474;647;8;B
475;647;8;C
476;647;9;A
477;647;10;A
478;647;11;A
479;10;1;A
480;10;1;B
481;10;2;A
482;10;3;A
483;10;4;A
484;10;4;B
485;10;4;C
486;10;5;A
487;10;5;B
488;10;5;C
489;10;6;A
490;10;7;A
491;10;8;A
492;10;9;A
493;10;9;B
494;10;9;C
495;10;10;A
496;10;10;B
497;10;11;A
498;112;1;A
499;112;1;B
500;112;2;A
501;112;2;B
502;112;3;A
503;112;4;A
504;112;4;B
505;112;4;C
506;112;5;A
507;112;5;B
508;112;6;A
509;112;7;A
510;112;8;A
511;112;8;B
512;112;9;A
513;112;10;A
514;112;11;A
515;112;11;B
516;112;11;C
517;8;1;A
518;8;1;B
519;8;1;C
520;8;2;A
521;8;2;B
522;8;2;C
523;8;3;A
524;8;4;A
525;8;5;A
526;8;5;B
527;8;6;A
528;8;7;A
529;8;8;A
530;8;9;A
531;8;10;A
532;8;11;A
533;8;11;B
534;544;1;A
535;544;1;B
536;544;2;A
537;544;2;B
538;544;2;C
539;544;3;A
540;544;3;B
541;544;4;A
542;544;4;B
543;544;5;A
544;544;5;B
545;544;6;A
546;544;6;B
547;544;6;C
548;544;7;A
549;544;7;B
550;544;7;C
551;544;8;A
552;544;9;A
553;544;10;A
554;544;10;B
555;544;10;C
556;544;11;A
557;544;11;B
558;637;1;A
559;637;1;B
560;637;1;C
561;637;2;A
562;637;2;B
563;637;2;C
564;637;3;A
565;637;3;B
566;637;3;C
567;637;4;A
568;637;5;A
569;637;6;A
570;637;6;B
571;637;7;A
572;637;8;A
573;637;9;A
574;637;9;B
575;637;9;C
576;637;10;A
577;637;10;B
578;637;11;A
579;637;11;B
580;637;11;C
581;229;1;A
582;229;1;B
583;229;2;A
584;229;2;B
585;229;3;A
586;229;4;A
587;229;4;B
588;229;4;C
589;229;5;A
590;229;6;A
591;229;6;B
592;229;6;C
593;229;7;A
594;229;7;B
595;229;7;C
596;229;8;A
597;229;8;B
598;229;8;C
599;229;9;A
600;229;10;A
601;229;10;B
602;229;11;A
603;229;11;B
604;229;11;C
605;964;1;A
606;964;2;A
607;964;3;A
608;964;4;A
609;964;4;B
610;964;4;C
611;964;5;A
612;964;6;A
613;964;7;A
614;964;7;B
615;964;7;C
616;964;8;A
617;964;8;B
618;964;9;A
619;964;9;B
620;964;10;A
621;964;10;B
622;964;10;C
623;964;11;A
624;753;1;A
625;753;1;B
626;753;2;A
627;753;2;B
628;753;3;A
629;753;3;B
630;753;4;A
631;753;5;A
632;753;5;B
633;753;5;C
634;753;6;A
635;753;6;B
636;753;7;A
637;753;7;B
638;753;7;C
639;753;8;A
640;753;8;B
641;753;8;C
642;753;9;A
643;753;9;B
644;753;9;C
645;753;10;A
646;753;11;A
647;383;1;A
648;383;1;B
649;383;2;A
650;383;2;B
651;383;3;A
652;383;3;B
653;383;4;A
654;383;4;B
655;383;5;A
656;383;5;B
657;383;5;C
658;383;6;A
659;383;6;B
660;383;6;C
661;383;7;A
662;383;7;B
663;383;8;A
664;383;9;A
665;383;9;B
666;383;10;A
667;383;10;B
668;383;11;A
669;383;11;B
670;383;11;C
671;61;1;A
672;61;1;B
673;61;1;C
674;61;2;A
675;61;2;B
676;61;3;A
677;61;3;B
678;61;3;C
679;61;4;A
680;61;4;B
681;61;4;C
682;61;5;A
683;61;5;B
684;61;6;A
685;61;6;B
686;61;6;C
687;61;7;A
688;61;7;B
689;61;7;C
690;61;8;A
691;61;8;B
692;61;9;A
693;61;9;B
694;61;10;A
695;61;11;A
696;61;11;B
697;61;11;C
698;577;1;A
699;577;2;A
700;577;2;B
701;577;2;C
702;577;3;A
703;577;4;A
704;577;4;B
705;577;5;A
706;577;6;A
707;577;6;B
708;577;6;C
709;577;7;A
710;577;8;A
711;577;8;B
712;577;8;C
713;577;9;A
714;577;9;B
715;577;10;A
716;577;10;B
717;577;11;A
718;577;11;B
719;577;11;C
720;53;1;A
721;53;1;B
722;53;2;A
723;53;3;A
724;53;3;B
725;53;4;A
726;53;4;B
727;53;4;C
728;53;5;A
729;53;6;A
730;53;6;B
731;53;6;C
732;53;7;A
733;53;8;A
734;53;9;A
735;53;10;A
736;53;10;B
737;53;11;A
738;53;11;B
739;53;11;C
740;326;1;A
741;326;1;B
742;326;1;C
743;326;2;A
744;326;3;A
745;326;3;B
746;326;3;C
747;326;4;A
748;326;4;B
749;326;4;C
750;326;5;A
751;326;5;B
752;326;6;A
753;326;7;A
754;326;8;A
755;326;8;B
756;326;8;C
757;326;9;A
758;326;10;A
759;326;11;A
760;326;11;B
761;820;1;A
762;820;1;B
763;820;2;A
764;820;2;B
765;820;3;A
766;820;3;B
767;820;4;A
768;820;4;B
769;820;4;C
770;820;5;A
771;820;6;A
772;820;6;B
773;820;6;C
774;820;7;A
775;820;7;B
776;820;8;A
777;820;8;B
778;820;9;A
779;820;9;B
780;820;9;C
781;820;10;A
782;820;10;B
783;820;10;C
784;820;11;A
785;171;1;A
786;171;2;A
787;171;2;B
788;171;2;C
789;171;3;A
790;171;3;B
791;171;3;C
792;171;4;A
793;171;4;B
794;171;4;C
795;171;5;A
796;171;6;A
797;171;6;B
798;171;7;A
799;171;7;B
800;171;7;C
801;171;8;A
802;171;8;B
803;171;9;A
804;171;9;B
805;171;9;C
806;171;10;A
807;171;10;B
808;171;10;C
809;171;11;A
810;428;1;A
811;428;1;B
812;428;2;A
813;428;2;B
814;428;2;C
815;428;3;A
816;428;4;A
817;428;5;A
818;428;6;A
819;428;6;B
820;428;7;A
821;428;7;B
822;428;7;C
823;428;8;A
824;428;8;B
825;428;8;C
826;428;9;A
827;428;9;B
828;428;10;A
829;428;10;B
830;428;11;A
831;428;11;B
832;428;11;C
833;451;1;A
834;451;2;A
835;451;2;B
836;451;3;A
837;451;4;A
838;451;4;B
839;451;5;A
840;451;5;B
841;451;6;A
842;451;6;B
843;451;6;C
844;451;7;A
845;451;8;A
846;451;8;B
847;451;9;A
848;451;10;A
849;451;11;A
850;339;1;A
851;339;1;B
852;339;2;A
853;339;2;B
854;339;3;A
855;339;3;B
856;339;4;A
857;339;4;B
858;339;5;A
859;339;6;A
860;339;6;B
861;339;7;A
862;339;7;B
863;339;7;C
864;339;8;A
865;339;9;A
866;339;9;B
867;339;10;A
868;339;10;B
869;339;11;A
870;339;11;B
871;339;11;C
872;604;1;A
873;604;2;A
874;604;3;A
875;604;4;A
876;604;4;B
877;604;5;A
878;604;5;B
879;604;6;A
880;604;7;A
881;604;7;B
882;604;8;A
883;604;9;A
884;604;10;A
885;604;10;B
886;604;10;C
887;604;11;A
888;936;1;A
889;936;1;B
890;936;2;A
891;936;2;B
892;936;2;C
893;936;3;A
894;936;4;A
895;936;4;B
896;936;4;C
897;936;5;A
898;936;5;B
899;936;5;C
900;936;6;A
901;936;7;A
902;936;7;B
903;936;8;A
904;936;9;A
905;936;10;A
906;936;10;B
907;936;10;C
908;936;11;A
909;936;11;B
910;936;11;C
911;669;1;A
912;669;1;B
913;669;2;A
914;669;3;A
915;669;3;B
916;669;3;C
917;669;4;A
918;669;4;B
919;669;5;A
920;669;5;B
921;669;6;A
922;669;6;B
923;669;6;C
924;669;7;A
925;669;8;A
926;669;8;B
927;669;9;A
928;669;9;B
929;669;9;C
930;669;10;A
931;669;10;B
932;669;11;A
933;669;11;B
934;374;1;A
935;374;1;B
936;374;1;C
937;374;2;A
938;374;2;B
939;374;3;A
940;374;4;A
941;374;4;B
942;374;5;A
943;374;5;B
944;374;5;C
945;374;6;A
946;374;6;B
947;374;7;A
948;374;7;B
949;374;8;A
950;374;8;B
951;374;9;A
952;374;9;B
953;374;9;C
954;374;10;A
955;374;10;B
956;374;10;C
957;374;11;A
958;374;11;B
959;88;1;A
960;88;1;B
961;88;2;A
962;88;3;A
963;88;3;B
964;88;3;C
965;88;4;A
966;88;5;A
967;88;5;B
968;88;6;A
969;88;6;B
970;88;7;A
971;88;7;B
972;88;7;C
973;88;8;A
974;88;9;A
975;88;10;A
976;88;10;B
977;88;11;A
978;88;11;B
979;88;11;C
980;299;1;A
981;299;1;B
982;299;2;A
983;299;2;B
984;299;3;A
985;299;4;A
986;299;4;B
987;299;4;C
988;299;5;A
989;299;5;B
990;299;5;C
991;299;6;A
992;299;6;B
993;299;6;C
994;299;7;A
995;299;8;A
996;299;8;B
997;299;9;A
998;299;9;B
999;299;10;A
1000;299;10;B
1001;299;10;C
1002;299;11;A
1003;358;1;A
1004;358;1;B
1005;358;2;A
1006;358;3;A
1007;358;3;B
1008;358;3;C
1009;358;4;A
1010;358;4;B
1011;358;4;C
1012;358;5;A
1013;358;5;B
1014;358;6;A
1015;358;6;B
1016;358;7;A
1017;358;8;A
1018;358;8;B
1019;358;9;A
1020;358;10;A
1021;358;10;B
1022;358;10;C
1023;358;11;A
1024;358;11;B
1025;358;11;C
1026;285;1;A
1027;285;1;B
1028;285;1;C
1029;285;2;A
1030;285;2;B
1031;285;3;A
1032;285;4;A
1033;285;4;B
1034;285;4;C
1035;285;5;A
1036;285;5;B
1037;285;6;A
1038;285;6;B
1039;285;7;A
1040;285;7;B
1041;285;8;A
1042;285;8;B
1043;285;8;C
1044;285;9;A
1045;285;9;B
1046;285;10;A
1047;285;10;B
1048;285;10;C
1049;285;11;A
1050;285;11;B
1051;253;1;A
1052;253;1;B
1053;253;2;A
1054;253;2;B
1055;253;2;C
1056;253;3;A
1057;253;4;A
1058;253;5;A
1059;253;6;A
1060;253;6;B
1061;253;7;A
1062;253;7;B
1063;253;7;C
1064;253;8;A
1065;253;8;B
1066;253;8;C
1067;253;9;A
1068;253;10;A
1069;253;10;B
1070;253;10;C
1071;253;11;A
1072;7;1;A
1073;7;1;B
1074;7;2;A
1075;7;2;B
1076;7;3;A
1077;7;4;A
1078;7;5;A
1079;7;5;B
1080;7;5;C
1081;7;6;A
1082;7;7;A
1083;7;8;A
1084;7;8;B
1085;7;8;C
1086;7;9;A
1087;7;10;A
1088;7;10;B
1089;7;10;C
1090;7;11;A
1091;7;11;B
1092;297;1;A
1093;297;1;B
1094;297;2;A
1095;297;3;A
1096;297;3;B
1097;297;3;C
1098;297;4;A
1099;297;4;B
1100;297;5;A
1101;297;5;B
1102;297;5;C
1103;297;6;A
1104;297;6;B
1105;297;6;C
1106;297;7;A
1107;297;7;B
1108;297;8;A
1109;297;8;B
1110;297;9;A
1111;297;9;B
1112;297;9;C
1113;297;10;A
1114;297;10;B
1115;297;10;C
1116;297;11;A
1117;324;1;A
1118;324;1;B
1119;324;1;C
1120;324;2;A
1121;324;2;B
1122;324;3;A
1123;324;4;A
1124;324;4;B
1125;324;4;C
1126;324;5;A
1127;324;5;B
1128;324;5;C
1129;324;6;A
1130;324;7;A
1131;324;7;B
1132;324;7;C
1133;324;8;A
1134;324;8;B
1135;324;9;A
1136;324;9;B
1137;324;10;A
1138;324;10;B
1139;324;10;C
1140;324;11;A
1141;324;11;B
1142;750;1;A
1143;750;1;B
1144;750;1;C
1145;750;2;A
1146;750;2;B
1147;750;3;A
1148;750;3;B
1149;750;3;C
1150;750;4;A
1151;750;5;A
1152;750;6;A
1153;750;6;B
1154;750;6;C
1155;750;7;A
1156;750;7;B
1157;750;8;A
1158;750;8;B
1159;750;9;A
1160;750;10;A
1161;750;10;B
1162;750;11;A
1163;394;1;A
1164;394;1;B
1165;394;2;A
1166;394;2;B
1167;394;3;A
1168;394;4;A
1169;394;5;A
1170;394;5;B
1171;394;5;C
1172;394;6;A
1173;394;6;B
1174;394;7;A
1175;394;7;B
1176;394;7;C
1177;394;8;A
1178;394;9;A
1179;394;9;B
1180;394;9;C
1181;394;10;A
1182;394;10;B
1183;394;11;A
1184;394;11;B
1185;884;1;A
1186;884;1;B
1187;884;2;A
1188;884;3;A
1189;884;4;A
1190;884;5;A
1191;884;5;B
1192;884;5;C
1193;884;6;A
1194;884;7;A
1195;884;7;B
1196;884;8;A
1197;884;8;B
1198;884;9;A
1199;884;9;B
1200;884;10;A
1201;884;10;B
1202;884;11;A
1203;652;1;A
1204;652;2;A
1205;652;2;B
1206;652;2;C
1207;652;3;A
1208;652;3;B
1209;652;4;A
1210;652;5;A
1211;652;6;A
1212;652;6;B
1213;652;6;C
1214;652;7;A
1215;652;8;A
1216;652;9;A
1217;652;9;B
1218;652;10;A
1219;652;10;B
1220;652;11;A
1221;652;11;B
1222;357;1;A
1223;357;1;B
1224;357;2;A
1225;357;3;A
1226;357;4;A
1227;357;4;B
1228;357;4;C
1229;357;5;A
1230;357;6;A
1231;357;7;A
1232;357;7;B
1233;357;8;A
1234;357;8;B
1235;357;8;C
1236;357;9;A
1237;357;9;B
1238;357;10;A
1239;357;10;B
1240;357;10;C
1241;357;11;A
1242;357;11;B
1243;713;1;A
1244;713;1;B
1245;713;2;A
1246;713;2;B
1247;713;3;A
1248;713;4;A
1249;713;4;B
1250;713;5;A
1251;713;6;A
1252;713;6;B
1253;713;6;C
1254;713;7;A
1255;713;8;A
1256;713;8;B
1257;713;9;A
1258;713;9;B
1259;713;10;A
1260;713;10;B
1261;713;10;C
1262;713;11;A
1263;713;11;B
1264;713;11;C
1265;541;1;A
1266;541;1;B
1267;541;2;A
1268;541;2;B
1269;541;2;C
1270;541;3;A
1271;541;3;B
1272;541;4;A
1273;541;4;B
1274;541;4;C
1275;541;5;A
1276;541;5;B
1277;541;5;C
1278;541;6;A
1279;541;6;B
1280;541;7;A
1281;541;8;A
1282;541;9;A
1283;541;10;A
1284;541;10;B
1285;541;10;C
1286;541;11;A
1287;309;1;A
1288;309;2;A
1289;309;3;A
1290;309;4;A
1291;309;4;B
1292;309;5;A
1293;309;5;B
1294;309;6;A
1295;309;6;B
1296;309;7;A
1297;309;7;B
1298;309;8;A
1299;309;8;B
1300;309;8;C
1301;309;9;A
1302;309;9;B
1303;309;10;A
1304;309;10;B
1305;309;10;C
1306;309;11;A
1307;626;1;A
1308;626;1;B
1309;626;2;A
1310;626;2;B
1311;626;2;C
1312;626;3;A
1313;626;4;A
1314;626;5;A
1315;626;5;B
1316;626;6;A
1317;626;6;B
1318;626;7;A
1319;626;8;A
1320;626;8;B
1321;626;8;C
1322;626;9;A
1323;626;9;B
1324;626;9;C
1325;626;10;A
1326;626;10;B
1327;626;10;C
1328;626;11;A
1329;626;11;B
1330;626;11;C
1331;281;1;A
1332;281;2;A
1333;281;2;B
1334;281;2;C
1335;281;3;A
1336;281;3;B
1337;281;3;C
1338;281;4;A
1339;281;4;B
1340;281;5;A
1341;281;6;A
1342;281;6;B
1343;281;6;C
1344;281;7;A
1345;281;8;A
1346;281;9;A
1347;281;9;B
1348;281;9;C
1349;281;10;A
1350;281;10;B
1351;281;11;A
1352;281;11;B
1353;281;11;C
1354;784;1;A
1355;784;1;B
1356;784;1;C
1357;784;2;A
1358;784;2;B
1359;784;3;A
1360;784;3;B
1361;784;4;A
1362;784;5;A
1363;784;5;B
1364;784;5;C
1365;784;6;A
1366;784;6;B
1367;784;7;A
1368;784;8;A
1369;784;9;A
1370;784;9;B
1371;784;10;A
1372;784;10;B
1373;784;11;A
1374;721;1;A
1375;721;2;A
1376;721;2;B
1377;721;3;A
1378;721;3;B
1379;721;3;C
1380;721;4;A
1381;721;4;B
1382;721;4;C
1383;721;5;A
1384;721;5;B
1385;721;5;C
1386;721;6;A
1387;721;7;A
1388;721;8;A
1389;721;9;A
1390;721;10;A
1391;721;10;B
1392;721;10;C
1393;721;11;A
1394;393;1;A
1395;393;2;A
1396;393;2;B
1397;393;3;A
1398;393;3;B
1399;393;3;C
1400;393;4;A
1401;393;4;B
1402;393;5;A
1403;393;6;A
1404;393;6;B
1405;393;7;A
1406;393;7;B
1407;393;8;A
1408;393;8;B
1409;393;8;C
1410;393;9;A
1411;393;9;B
1412;393;9;C
1413;393;10;A
1414;393;10;B
1415;393;10;C
1416;393;11;A
1417;393;11;B
1418;507;1;A
1419;507;1;B
1420;507;1;C
1421;507;2;A
1422;507;2;B
1423;507;2;C
1424;507;3;A
1425;507;3;B
1426;507;3;C
1427;507;4;A
1428;507;5;A
1429;507;5;B
1430;507;5;C
1431;507;6;A
1432;507;6;B
1433;507;6;C
1434;507;7;A
1435;507;7;B
1436;507;8;A
1437;507;8;B
1438;507;8;C
1439;507;9;A
1440;507;9;B
1441;507;9;C
1442;507;10;A
1443;507;10;B
1444;507;10;C
1445;507;11;A
1446;671;1;A
1447;671;1;B
1448;671;2;A
1449;671;2;B
1450;671;3;A
1451;671;3;B
1452;671;4;A
1453;671;4;B
1454;671;5;A
1455;671;5;B
1456;671;5;C
1457;671;6;A
1458;671;6;B
1459;671;6;C
1460;671;7;A
1461;671;7;B
1462;671;8;A
1463;671;8;B
1464;671;8;C
1465;671;9;A
1466;671;9;B
1467;671;9;C
1468;671;10;A
1469;671;10;B
1470;671;11;A
1471;671;11;B
1472;130;1;A
1473;130;2;A
1474;130;2;B
1475;130;2;C
1476;130;3;A
1477;130;3;B
1478;130;3;C
1479;130;4;A
1480;130;5;A
1481;130;5;B
1482;130;6;A
1483;130;6;B
1484;130;7;A
1485;130;7;B
1486;130;7;C
1487;130;8;A
1488;130;9;A
1489;130;10;A
1490;130;10;B
1491;130;10;C
1492;130;11;A
1493;130;11;B
1494;659;1;A
1495;659;1;B
1496;659;1;C
1497;659;2;A
1498;659;2;B
1499;659;3;A
1500;659;3;B
1501;659;4;A
1502;659;4;B
1503;659;5;A
1504;659;6;A
1505;659;6;B
1506;659;6;C
1507;659;7;A
1508;659;8;A
1509;659;8;B
1510;659;8;C
1511;659;9;A
1512;659;9;B
1513;659;10;A
1514;659;10;B
1515;659;10;C
1516;659;11;A
1517;259;1;A
1518;259;2;A
1519;259;3;A
1520;259;3;B
1521;259;3;C
1522;259;4;A
1523;259;5;A
1524;259;6;A
1525;259;6;B
1526;259;6;C
1527;259;7;A
1528;259;8;A
1529;259;8;B
1530;259;9;A
1531;259;9;B
1532;259;9;C
1533;259;10;A
1534;259;11;A
1535;259;11;B
1536;259;11;C
1537;683;1;A
1538;683;1;B
1539;683;1;C
1540;683;2;A
1541;683;3;A
1542;683;3;B
1543;683;3;C
1544;683;4;A
1545;683;5;A
1546;683;5;B
1547;683;6;A
1548;683;6;B
1549;683;6;C
1550;683;7;A
1551;683;7;B
1552;683;8;A
1553;683;8;B
1554;683;8;C
1555;683;9;A
1556;683;9;B
1557;683;10;A
1558;683;10;B
1559;683;10;C
1560;683;11;A
1561;683;11;B
1562;683;11;C
1563;49;1;A
1564;49;2;A
1565;49;2;B
1566;49;2;C
1567;49;3;A
1568;49;3;B
1569;49;3;C
1570;49;4;A
1571;49;4;B
1572;49;4;C
1573;49;5;A
1574;49;5;B
1575;49;5;C
1576;49;6;A
1577;49;6;B
1578;49;7;A
1579;49;7;B
1580;49;7;C
1581;49;8;A
1582;49;9;A
1583;49;9;B
1584;49;10;A
1585;49;10;B
1586;49;11;A
1587;49;11;B
1588;467;1;A
1589;467;1;B
1590;467;1;C
1591;467;2;A
1592;467;2;B
1593;467;2;C
1594;467;3;A
1595;467;3;B
1596;467;3;C
1597;467;4;A
1598;467;4;B
1599;467;5;A
1600;467;6;A
1601;467;6;B
1602;467;6;C
1603;467;7;A
1604;467;7;B
1605;467;7;C
1606;467;8;A
1607;467;9;A
1608;467;9;B
1609;467;10;A
1610;467;11;A
1611;467;11;B
1612;467;11;C
1613;432;1;A
1614;432;1;B
1615;432;2;A
1616;432;2;B
1617;432;2;C
1618;432;3;A
1619;432;3;B
1620;432;4;A
1621;432;4;B
1622;432;4;C
1623;432;5;A
1624;432;6;A
1625;432;6;B
1626;432;7;A
1627;432;7;B
1628;432;7;C
1629;432;8;A
1630;432;8;B
1631;432;9;A
1632;432;10;A
1633;432;11;A
1634;880;1;A
1635;880;2;A
1636;880;2;B
1637;880;2;C
1638;880;3;A
1639;880;3;B
1640;880;4;A
1641;880;4;B
1642;880;4;C
1643;880;5;A
1644;880;5;B
1645;880;5;C
1646;880;6;A
1647;880;6;B
1648;880;6;C
1649;880;7;A
1650;880;7;B
1651;880;7;C
1652;880;8;A
1653;880;9;A
1654;880;9;B
1655;880;9;C
1656;880;10;A
1657;880;11;A
1658;880;11;B
1659;265;1;A
1660;265;2;A
1661;265;3;A
1662;265;3;B
1663;265;3;C
