id;town;street;house
218;клх Вилюйск; бул. Кооперативный;377
219;п. Калач-на-Дону; ш. Репина;2
220;с. Яшалта; пер. Радищева;88
221;к. Новороссийка; пр. Кузнецкий;34
222;г. Усть-Джегута; пер. Минский;121
223;с. Йошкар-Ола; наб. Российская;387
224;с. Стерлитамак; бул. Розы Люксембург;185
225;с. Таштагол; пр. Маяковского;361
226;п. Нижнеудинск; алл. Болотная;193
227;д. Новомосковск; пер. Добролюбова;95
228;д. Белый Яр (Томск.); наб. Театральная;186
229;к. Балтийск; ш. Раздольное;295
230;г. Солнечногорск; алл. Весенняя;311
231;ст. Териберка; ул. Комсомольская;88
232;клх Талдом; наб. Светлая;102
233;с. Верхоянск; пр. Челюскинцев;151
234;г. Далматово; пр. Есенина;282
235;к. Белокуриха; наб. Прибрежная;321
236;ст. Макушино; ш. Космонавтов;323
237;г. Киржач; наб. Кузнецкая;323
238;г. Чебаркуль; пер. Средний;347
239;п. Оса; наб. Блюхера;121
240;клх Махачкала; пр. Нижний;354
241;д. Андреаполь; пр. Черноморский;328
242;п. Новая Игирма; пер. 40 лет Октября;53
243;с. Серпухов; бул. Элеваторный;330
244;ст. Бронницы; пер. Мая 1;57
245;с. Дно; алл. Курортная;258
246;с. Голицыно; алл. Волжская;19
247;клх Нарткала; пер. Короткий;195
248;ст. Троицко-Печорск; ул. Зеленая;281
249;г. Минеральные Воды; алл. Ильича;336
250;ст. Приморско-Ахтарск; пер. Красногвардейский;30
251;с. Билибино; наб. Гоголя;109
252;с. Аршан (Бурят.); алл. Енисейская;352
253;к. Ессентуки; бул. Щербакова;78
254;п. Абакан; ул. Приморская;109
255;п. Чермоз; пер. Пригородный;190
256;ст. Павловский Посад; пр. Социалистический;36
257;с. Ишим; ш. Николаева;322
258;г. Карабулак; ул. Степная;321
259;с. Москва; ул. Культуры;203
260;г. Старая Русса; алл. Веселая;280
261;ст. Усолье Сибирское; ул. Южная;229
262;г. Тосно; ул. Луначарского;191
263;п. Тура; наб. Монтажников;321
264;с. Суздаль; алл. Кольцова;22
265;д. Бийск; ул. Партизанская;58
266;д. Яшалта; пер. Саратовский;206
267;к. Нижнеудинск; алл. Громова;60
268;г. Белый Яр (Томск.); пер. Маркса Карла;209
269;с. Комсомольск-на-Амуре; пер. Войкова;199
270;ст. Радужный; алл. Строителей;108
271;п. Черемхово; алл. Сурикова;331
272;г. Ахтубинск; ул. Мелиораторов;10
273;ст. Тырныауз; ш. Гаражное;213
274;ст. Ельня; бул. Больничный;88
275;клх Елатьма; бул. Виноградный;233
276;с. Астрахань; наб. Брянская;320
277;д. Урус-Мартан; алл. Светлая;103
278;д. Ямбург; пр. Есенина;267
279;ст. Советский; ул. Мичурина;162
280;с. Смоленск; наб. Амурская;396
281;ст. Юрьев-Польский; пер. Целинный;36
282;п. Котельнич; наб. 30 лет Победы;35
283;клх Вязьма; ул. Петровская;353
284;ст. Шадринск; пер. Карбышева;53
285;г. Улан-Удэ; пер. О.Кошевого;80
286;к. Минеральные Воды; ул. Глинки;173
287;к. Якутск; ш. Черемушки;325
288;клх Красновишерск; бул. Водников;325
289;клх Чокурдах; ш. Коммуны;221
290;ст. Серов; бул. Зеленый;21
291;клх Шерегеш; наб. Профсоюзная;171
292;д. Урай; пер. Матросова;206
293;ст. Азов (Рост.); ул. Поперечная;294
294;д. Дубна; алл. Рязанская;122
295;клх Чокурдах; ул. Королева;265
296;д. Североуральск; пр. Окружной;122
297;к. Шенкурск; ш. Щербакова;54
298;п. Черусти; пер. Тепличный;47
299;п. Курганинск; пер. Красных Партизан;70
300;п. Туапсе; пр. Геологический;298
301;клх Барнаул; ш. Жуковского;362
302;к. Кабанск; ул. Труда;190
303;с. Касимов; ш. Светлое;378
304;клх Беломорск; наб. Высоковольтная;98
305;п. Кызыл; ул. Гончарова;128
306;к. Краснокамск; пр. Лесхозный;340
307;с. Адлер; ул. Сенная;253
308;клх Усть-Кулом; алл. Сплавная;151
309;д. Карталы; пр. Литейный;141
310;ст. Енисейск; пр. Локомотивный;372
311;ст. Обнинск; пр. Комсомольский;102
312;клх Александровск; пер. Песчаный;339
313;к. Соловки; пер. Кутузова;19
314;г. Пенза; наб. Черемушки;364
315;к. Агинское (Забайк.); ул. Кооперативная;264
316;с. Чусовой; алл. Крымская;169
317;к. Усинск; ш. О.Кошевого;314
318;к. Баксан; наб. Коммунальная;290
319;к. Нижний Новгород; пер. Карьерный;205
320;г. Талдом; пр. Депутатский;36
321;п. Валдай; бул. Тельмана;3
322;ст. Нижневартовск; бул. Азовский;115
323;клх Глазов; бул. Титова;130
324;п. Видное; алл. Новая;380
325;г. Ивдель; бул. Красногвардейский;113
326;г. Бузулук; ш. Ключевое;182
327;клх Усинск; ш. Хвойное;345
328;с. Вязьма; ул. Шолохова;66
329;д. Тула; пр. Гастелло;314
330;ст. Фатеж; пр. Песчаный;157
331;п. Чикола; ул. Зои Космодемьянской;223
332;г. Оха; ул. Разина;139
333;д. Верещагино (Перм.); наб. Высотная;23
334;ст. Витим; алл. Ягодная;200
335;д. Тимашевск; наб. Карбышева;396
336;к. Усмань; пер. Полтавский;50
337;д. Волгоград; ш. Красных Партизан;289
338;с. Королев; бул. Курский;397
339;п. Кяхта; пр. Краснодарский;239
340;ст. Чермоз; ул. Юности;112
341;клх Кулунда; ул. Покровская;229
342;ст. Уварово; пер. Морозова;340
343;с. Бавлы; ш. Почтовое;254
344;п. Дно; наб. Санаторная;286
345;к. Далматово; ш. Прохладное;199
346;к. Зарайск; бул. Городской;186
347;п. Мирный; наб. Партизанская;284
348;ст. Чусовой; бул. 50 лет Октября;350
349;клх Валдай; ул. Осенняя;10
350;п. Тюмень; ул. Карла Либкнехта;71
351;д. Малгобек; ул. Уральская;353
352;к. Наро-Фоминск; ш. Шахтерское;368
353;п. Солнечногорск; пер. Макаренко;115
354;п. Южно-Курильск; пр. Нагорный;140
355;п. Сортавала; пр. Большой;390
356;г. Владимир; наб. Морозова;361
357;с. Ухта; ул. 8 Марта;279
358;к. Кимры; бул. Малиновый;372
359;г. Омск; бул. Абрикосовый;199
360;п. Шумиха; ш. Л.Толстого;344
361;ст. Муравленко; бул. Механический;84
362;к. Зеленоград; ул. Курортная;187
363;к. Кострома; алл. Лесозаводская;262
364;к. Новокузнецк; пр. Карьерный;121
365;г. Серафимович; алл. Кирпичная;304
366;д. Иркутск; ул. Красноярская;33
367;с. Кондопога; ул. Сплавная;152
368;г. Набережные Челны; пр. Черемуховый;270
369;п. Северо-Курильск; пр. Заозерный;376
370;д. Апрелевка; пер. Горняцкий;355
371;к. Новый Уренгой; ул. Новостройка;394
372;г. Чайковский; ул. Котовского;238
373;клх Данков; бул. Кавказский;33
374;г. Малоярославец; ул. Ростовская;267
375;ст. Шали; наб. Механическая;179
376;клх Мураши; пр. Коллективный;207
377;ст. Мокшан; пер. Детский;186
378;клх Гремячинск (Перм.); алл. Железнодорожная;16
379;г. Мыс Шмидта; ул. Волгоградская;395
380;г. Лотошино; наб. Станционная;227
381;с. Королев; бул. Центральный;397
382;п. Шуя; пер. Промышленный;326
383;г. Всеволожск; пер. Бригадный;155
384;клх Канск; наб. 70 лет Октября;114
385;к. Ступино; наб. Дорожная;159
386;п. Чита; пер. Новгородский;150
387;г. Липецк; ш. 1 Мая;65
388;с. Городовиковск; пр. Кубанский;160
389;к. Нефтекамск; бул. Иванова;100
390;ст. Ясный (Оренб.); ул. Фабричная;138
391;к. Шаховская; пр. Моховой;119
392;клх Мончегорск; алл. Тенистая;174
393;ст. Мезень; наб. Космическая;248
394;с. Абинск; бул. Ручейный;259
395;г. Нижний Тагил; алл. Разина;77
396;д. Усть-Илимск; пер. Водников;400
397;к. Каменск-Шахтинский; бул. Тенистый;267
398;к. Анапа; бул. Карьерный;320
399;с. Тосно; пер. Ушакова;86
400;с. Кизилюрт; ул. Лесная;250
401;к. Валдай; наб. Привольная;348
402;с. Элиста; ш. Минское;223
403;к. Калуга; пер. Железнодорожный;154
404;г. Нижневартовск; ул. Дарвина;348
405;клх Семлячики; пр. Станиславского;19
406;п. Шенкурск; алл. Горького;208
407;г. Железногорск(Курск.); ул. Высокая;271
408;с. Ессентуки; наб. Сосновая;143
409;д. Енисейск; пр. Олимпийский;45
410;к. Троицк (Челяб.); ш. Фестивальное;59
411;с. Петухово; пр. Парковый;306
412;д. Белогорск (Амур.); пер. Радищева;42
413;г. Галич; пер. Учительский;55
414;клх Горячий Ключ; наб. Славянская;102
415;клх Дербент; пер. Заозерный;35
416;п. Щельяюр; бул. Угловой;329
417;к. Мостовской; наб. Л.Толстого;224
418;г. Арсеньев; наб. Гаражная;173
419;г. Южно-Сахалинск; бул. Фадеева;314
420;г. Железногорск(Курск.); наб. Учительская;123
421;клх Суздаль; бул. Байкальский;306
422;клх Баксан; пр. Осипенко;303
423;к. Дагомыс; пер. Центральный;377
424;клх Иваново; пр. Волочаевский;56
425;ст. Кириши; наб. Маркса Карла;85
426;г. Чермоз; ул. Смоленская;44
427;ст. Махачкала; алл. Шмидта;108
428;с. Псебай; алл. Максима Горького;153
429;клх Воткинск; наб. Осенняя;27
430;к. Норильск; бул. Победы;374
431;ст. Череповец; пер. Крылова;31
432;с. Городовиковск; алл. Специалистов;167
433;д. Кулунда; наб. Лермонтова;85
434;д. Ханты-Мансийск; бул. Киевский;40
435;д. Тихорецк; алл. Осипенко;50
436;ст. Каневская; пер. Высоковольтный;131
437;д. Ставрополь; бул. Добролюбова;233
438;с. Карпинск; ул. Запрудная;359
439;г. Певек; пр. Ручейный;271
440;д. Ербогачен; пр. М.Горького;349
441;д. Муром; пер. Революционный;229
442;ст. Бронницы; ш. Февральское;376
443;клх Армавир; пер. Р.Люксембург;212
444;с. Малоярославец; пер. Инженерный;301
445;с. Валаам; бул. Николаева;393
446;п. Ряжск; ш. Толбухина;389
447;п. Томск; бул. Новгородский;364
448;д. Корсаков; алл. Школьная;249
449;клх Химки; наб. Городская;168
450;г. Жигулевск; бул. Прудный;196
451;д. Холмогоры; пер. Шишкина;274
452;с. Калязин; пр. Циолковского;338
453;ст. Краснокамск; пр. Крестьянский;110
454;к. Брянск; наб. Победы;335
455;к. Каменск-Шахтинский; ш. Путейское;208
456;п. Палана; алл. Космическая;206
457;ст. Сыктывкар; ул. 8 Марта;193
458;с. Колпашево; пр. Морозова;40
459;г. Салават; ш. Авиационное;355
460;с. Киров (Вятка); ул. Линейная;53
461;д. Набережные Челны; ш. Подгорное;278
462;клх Щелково; пр. Кленовый;380
463;клх Яшалта; ул. Каштановая;207
464;г. Находка; ш. Боровое;295
465;д. Нефтегорск (Самар.); наб. Революции;191
466;клх Троицк (Моск.); алл. Чайкиной;128
467;с. Карталы; пр. Заводской;200
468;с. Калязин; пер. Свердлова;287
469;п. Витим; пр. Минина;206
470;клх Снежинск; пр. Шахтерский;383
471;г. Вязьма; пр. Чайковского;384
472;ст. Тарко-Сале; алл. Окружная;363
473;с. Гатчина; ул. Высоковольтная;87
474;г. Великий Устюг; бул. Песочный;303
475;клх Оленегорск (Якут.); пер. Водников;9
476;клх Железногорск(Курск.); наб. Рябиновая;92
477;с. Кашхатау; алл. Челюскинцев;265
478;г. Чермоз; ул. Клубная;112
479;д. Каргасок; пр. Омский;8
480;д. Троицк (Моск.); ул. Демьяна Бедного;144
481;п. Йошкар-Ола; наб. Малиновая;156
482;с. Змеиногорск; пер. Подстанция;309
483;клх Внуково (метеост.); ш. Кубанское;279
484;клх Воронеж; ш. Глинки;299
485;с. Валдай; пр. Иванова;24
486;ст. Ноглики; пер. Парковый;18
487;к. Чебаркуль; наб. Прохладная;141
488;д. Кедровый; пер. Юбилейный;76
489;к. Завьялиха; ул. Светлая;116
490;д. Вытегра; наб. Курганная;40
491;г. Обоянь; ул. Котовского;3
492;к. Когалым; пр. 60 лет Октября;253
493;п. Палана; ул. Театральная;335
494;п. Новый Оскол; наб. Щетинкина;293
495;ст. Руза; ул. Казачья;175
496;к. Нижний Тагил; пер. Авиационный;204
497;п. Пенза; бул. Луначарского;318
498;п. Асино; бул. Балтийский;40
499;к. Усть-Ордынский; бул. Сурикова;201
500;клх Середниково; алл. Журавлева;54
501;п. Соболево; ш. Черемушки;139
502;с. Юрьевец (Иван.); ш. Владимирское;143
503;клх Армавир; бул. Каштановый;281
504;п. Комсомольск-на-Амуре; пр. Геологический;285
505;с. Бологое; алл. Лесная;144
506;клх Анива; наб. Камская;44
507;к. Гудермес; ул. Пушкинская;113
508;д. Егорьевск; пр. Трудовой;221
509;г. Ейск; бул. Первомайский;388
510;г. Ишим; пер. Матросова;155
511;г. Ишим; бул. Светлый;235
512;клх Тамбей; пер. Тихий;334
513;клх Екатеринбург; ул. Тульская;69
514;ст. Муравленко; пер. Партизанский;285
515;клх Луховицы; пер. Восточный;55
516;г. Учалы; пер. Свободы;380
517;ст. Саратов; ш. Орловское;144
518;п. Качканар; алл. Уральская;244
519;к. Мценск; алл. Толбухина;355
520;д. Красновишерск; ш. Буденного;72
521;п. Петропавловск-Камчатский; ул. Коммуны;286
522;п. Ярославль; ул. Кубанская;220
523;с. Чермоз; пер. Севастопольский;114
524;д. Осташков; бул. Пожарского;189
525;п. Сальск; наб. Подлесная;315
526;к. Торжок; пер. Станиславского;75
527;д. Лодейное Поле; пер. Раздольный;351
528;с. Лесной (Сверд.); бул. Розы Люксембург;286
529;г. Белогорск (Амур.); наб. Рылеева;231
530;д. Великий Устюг; пр. Черемуховый;52
531;п. Санкт-Петербург; наб. Карбышева;329
532;клх Ершов; ш. Громова;317
533;клх Ханты-Мансийск; бул. Гоголя;376
534;ст. Выборг; наб. Хуторская;45
535;клх Усинск; наб. Ивановская;79
536;с. Оленек; бул. Кольцова;48
537;клх Слюдянка; ш. Матросова;381
538;к. Быково (метеост.); наб. Брянская;46
539;ст. Армавир; алл. Главная;187
540;к. Любань; ул. Рабочая;245
541;г. Сосногорск; пер. Менделеева;54
542;п. Приозерск; пер. Приозерный;382
543;с. Валдай; ул. Зои Космодемьянской;177
544;клх Сорочинск; алл. Кочубея;208
545;с. Армавир; пер. Бульварный;243
546;клх Прохладный; ш. Черемушки;54
547;клх Елец; пр. Макарова;131
548;г. Билибино; ш. Красноярское;205
549;д. Бологое; алл. Заозерная;121
550;п. Калач-на-Дону; пер. Серафимовича;221
551;с. Ижевск; алл. Сахалинская;342
552;к. Асбест; наб. Ульяновская;383
553;г. Ноглики; ш. Пархоменко;386
554;г. Сусуман; алл. Энергетиков;385
555;клх Петрозаводск; бул. Сурикова;242
556;ст. Казань; алл. Кольцевая;164
557;к. Тосно; бул. Правды;202
558;к. Раменское; пр. Р.Люксембург;257
559;с. Октябрьское (Хант.); алл. Тукая;115
560;ст. Саров (Морд.); ш. Виноградное;51
561;к. Усть-Джегута; алл. Тихая;370
562;п. Шарья; бул. Советов;134
563;к. Борзя; алл. Ермака;27
564;ст. Уфа; ш. Грибоедова;192
565;ст. Руза; пер. Циолковского;156
566;ст. Юрюзань; наб. Волкова;368
567;п. Терскол; пер. Горняцкий;391
568;к. Элиста; пер. Кедровый;259
569;д. Верхнее Пенжино; алл. Горького;107
570;к. Баргузин; ул. Циолковского;128
571;д. Гатчина; бул. Черноморский;144
572;п. Хасан; наб. Заречная;137
573;д. Аргаяш; наб. Речная;204
574;г. Жуковский; бул. Иркутский;152
575;ст. Юрьевец (Иван.); наб. Огородная;393
576;клх Гудермес; ш. Пролетарское;104
577;г. Борзя; бул. Ударный;268
578;к. Гдов; алл. Осипенко;105
579;д. Дзержинск; ш. Дружба;97
580;ст. Качканар; ул. Космодемьянской;279
581;п. Буденновск; алл. Рылеева;271
582;г. Ногинск (Моск.); пр. Гагарина;347
583;с. Карачаевск; бул. Шевченко;318
584;ст. Троицко-Печорск; ш. Тракторное;35
585;с. Луга; ул. Братская;344
586;г. Уренгой; бул. Халтурина;232
587;п. Черусти; алл. Крестьянская;246
588;д. Сарапул; алл. Радищева;313
589;ст. Кимры; наб. Озерная;292
590;с. Кирово-Чепецк; наб. Авиационная;358
591;д. Златоуст; алл. Омская;277
592;д. Кингисепп; ул. Бульварная;387
593;д. Андреаполь; пр. Гайдара;391
594;п. Тында; бул. Технический;325
595;клх Малая Вишера; алл. Химиков;148
596;к. Саянск; пр. Больничный;300
597;ст. Усть-Ордынский; ул. Бульварная;123
598;п. Жигулевск; наб. 1 Мая;283
599;г. Владикавказ; наб. Краснознаменная;291
600;клх Макаров; пер. Одесский;210
601;д. Нязепетровск; наб. Щетинкина;130
602;д. Карачаевск; пер. Уральский;275
603;клх Охотск; алл. Подстанция;187
604;клх Аргаяш; алл. Краснопартизанская;146
605;п. Баксан; бул. Южный;172
606;д. Лабытнанги; пр. Кольцевой;375
607;к. Игнашино; пр. Докучаева;43
608;д. Ступино; пр. Пархоменко;267
609;п. Сортавала; бул. Гражданский;327
610;к. Анапа; пр. Дарвина;119
611;г. Южноуральск; алл. Крестьянская;32
612;д. Камень-на-Оби; пер. Свободный;59
613;клх Октябрьский (Башк.); наб. Индустриальная;36
614;ст. Лазаревское; бул. Победа;13
615;к. Красноселькуп; пер. Транспортный;172
616;к. Листвянка (Иркут.); пер. Фурманова;339
617;ст. Армавир; пр. Раздольный;181
618;с. Норильск; алл. Воронежская;272
619;п. Красновишерск; алл. Озерная;76
620;клх Сунтар; ул. Кубанская;156
621;д. Чикола; алл. Шаумяна;30
622;г. Бологое; ш. Щетинкина;205
623;п. Котлас; бул. Пугачева;142
624;клх Калачинск; пер. Городской;394
625;с. Звенигород; бул. Нагорный;100
626;с. Лесной (Сверд.); бул. Мелиораторов;12
627;клх Славгород; ш. Пушкина;133
628;ст. Александровск-Сахалинский; бул. Кутузова;366
629;клх Аршан (Бурят.); бул. Новосельский;56
630;с. Боровск; алл. Черняховского;94
631;клх Воркута; наб. Титова;72
632;ст. Новосибирск; наб. Малая;154
633;п. Вуктыл; пер. Революционный;356
634;ст. Карабудахкент; ш. Волгоградское;81
635;г. Шерегеш; бул. Лунный;142
636;д. Печенга; ул. Ватутина;175
637;с. Ребриха; наб. Рылеева;27
638;ст. Нягань; пр. Льва Толстого;162
639;д. Смоленск; ш. Коммунистическое;123
640;п. Байкальск; ш. Ягодное;91
641;к. Валаам; пер. Нижний;349
642;д. Катайск; пер. Донской;311
643;клх Новокузнецк; пер. Нефтяников;208
644;г. Югорск; ул. Проезжая;43
645;ст. Вязьма; алл. Пархоменко;42
646;к. Певек; пр. Куйбышева;361
647;с. Гаврилов-Ям; бул. Котовского;239
648;с. Нарым; алл. Металлургов;42
649;к. Юрьевец (Иван.); бул. Февральский;43
650;п. Октябрьское (Хант.); наб. Шмидта;242
